english,gemma2:9b_rag,gemma2:9b_rag_scores,gemma2:9b_std,gemma2:9b_std_scores
Real results,Resultados reales,0.6415047645568848,Resultados reales,0.6415047645568848
Clinical-power IPL technology,Tecnología IPL de potencia clínica,0.022327754646539688,Tecnología IPL de potencia clínica,0.022327754646539688
"High-speed flash delivers up to 120 J of extremely powerful energy, targeting the hair follicle and stimulating it into a resting phase so it doesn’t grow back.","Un destello de alta velocidad entrega hasta 120 J de energía extremadamente potente, dirigiéndose al folículo piloso y estimulándolo a una fase de reposo para que no vuelva a crecer.",0.08751364052295685,"Un destello de alta velocidad libera hasta 120 julios de energía extremadamente potente, apuntando al folículo piloso y estimulándolo para que entre en una fase de reposo para que no vuelva a crecer.",-0.0817609578371048
4X larger. 4X faster.,4 veces más grande. 4 veces más rápido.,0.6577461361885071,4 veces más grande. 4 veces más rápido.,0.6577461361885071
"With a treatment window 4X larger than competitors, this IPL device covers significantly more skin with each flash, allowing you to complete full-body treatments up to 4X faster.","Con una ventana de tratamiento 4 veces más grande que la de la competencia, este dispositivo IPL cubre significativamente más piel con cada destello, lo que te permite completar tratamientos para todo el cuerpo hasta 4 veces más rápido.",0.3657856285572052,"Con una ventana de tratamiento 4 veces mayor que la de los competidores, este dispositivo IPL cubre significativamente más piel con cada destello, permitiéndole completar tratamientos para todo el cuerpo hasta 4 veces más rápido.",0.32998189330101013
360° skin cooling system,Sistema de enfriamiento cutáneo 360°,0.5487805008888245,Sistema de enfriamiento de piel de 360°.,0.4584788978099823
"Open ducts placed strategically around the treatment window blow air onto skin during your treatment, to ensure the most comfortable IPL experience.",Los conductos abiertos colocados estratégicamente alrededor de la ventana de tratamiento soplan aire sobre la piel durante tu tratamiento para garantizar la experiencia IPL más cómoda.,0.4881459176540375,"Los conductos abiertos colocados estratégicamente alrededor de la ventana de tratamiento soplan aire sobre la piel durante su tratamiento, para garantizar la experiencia IPL más cómoda.",0.4492281973361969
Built-in protective shield,Escudo protector integrado,-0.487606018781662,Escudo protector integrado,-0.487606018781662
"Innovative silicone shield protects eyes from intense light pulses, while naturally contouring to the shape of your body - ensuring firm contact for fewer missed spots.","Escudo de silicona innovador protege los ojos de pulsos de luz intensos, al tiempo que se adapta naturalmente a la forma del cuerpo, asegurando un contacto firme para evitar zonas omitidas.",-0.04228397086262703,"Un escudo de silicona innovador protege los ojos de pulsos intensos de luz, al tiempo que se adapta naturalmente a la forma del cuerpo - asegurando un contacto firme para evitar zonas omitidas.",-0.032258424907922745
Intense Pulsed Light,Luz Pulsada Intensa,0.460795134305954,Luz Pulsada Intensa,0.460795134305954
Ultra-hygienic silicone,Silicona ultra higiénica,0.643743097782135,Silicona ultrahigiénica,0.6597716212272644
Clinical results,Resultados clínicos,0.6667017340660095,Resultados clínicos,0.6666398644447327
Reduces hair by 90% in 4 uses .,Reduce el cabello en un 90% en 4 usos.,0.16260570287704468,Reduce el cabello en un 90% en 4 usos.,0.16260570287704468
Reduces hair by,Reduce el vello por,-1.059288501739502,Reduce el pelo por,-0.5485835075378418
90%,El 90% de los usuarios,-0.22655409574508667,90%,0.7843292355537415
in 4 uses .,en 4 usos.,-0.4074602723121643,En 4 usos.,-0.25756263732910156
"Significantly reduces hair quantity, length & density even after discontinued use.","Reduce significativamente la cantidad, longitud y densidad del cabello incluso después de dejar de usarlo.",0.49838924407958984,"Reduce significativamente la cantidad, longitud y densidad del cabello incluso después de dejar de usarlo.",0.49838924407958984
"95% report visible results within 2 weeks, with hair growing back slower and noticeably reduced.","El 95 % de los usuarios reportan resultados visibles en solo 2 semanas, con un crecimiento del cabello más lento y notablemente reducido.",0.5076485276222229,"El 95 % de los usuarios reportan resultados visibles en un plazo de 2 semanas, con un crecimiento capilar más lento y una reducción notable.",0.4764619767665863
95%,El 95%,0.40304356813430786,95%,0.8142056465148926
"report visible results within 2 weeks, with hair growing back slower and noticeably reduced.","Reportar resultados visibles en 2 semanas, con el cabello que vuelve a crecer más lento y notablemente reducido.",-0.04272294417023659,"Informar resultados visibles en 2 semanas, con el crecimiento del cabello más lento y notablemente reducido.",-0.14330807328224182
97% report less ingrown hairs.,El 97% de usuarios declaró menos vellos encarnados.,-0.4540776312351227,El 97% de los usuarios informan tener menos pelos encarnados.,0.23074789345264435
97%,El 97%,0.26315003633499146,97%,0.9142640233039856
report less ingrown hairs.,informan menos pelos enquistados.,-0.8112481236457825,Informar menos pelos encarnados.,-0.7235527634620667
"Based on 3rd party clinical testing with 37 healthy female and male subjects, over a 6 month period.","Basado en pruebas clínicas de terceros con 37 sujetos sanos, hombres y mujeres, durante un período de 6 meses.",0.25159841775894165,"Basado en pruebas clínicas de terceros con 37 sujetos sanos, hombres y mujeres, durante un período de 6 meses.",0.25159841775894165
PEACH™ 2 Pro Max,PEACH™ 2 Pro Max,0.6888450980186462,PEACH™ 2 Pro Max,0.6892081499099731
"Supreme power, ultra-large treatment window, skin cooling system, protective shield, and full body treatments made 4X faster. The new era of IPL is here.","Poder supremo, ventana de tratamiento extragrande, sistema de enfriamiento de la piel, escudo protector y tratamientos para todo el cuerpo hechos 4 veces más rápido. La nueva era del IPL ha llegado.",0.3068476617336273,"Poder supremo, ventana de tratamiento ultragrande, sistema de enfriamiento de la piel, escudo protector y tratamientos para todo el cuerpo hechos 4 veces más rápido. La nueva era del IPL ha llegado.",0.4004705250263214
Extremely powerful with up to a whopping 120 J of power.,Extremadamente potente con hasta 120 J de potencia.,0.4602462947368622,Extremadamente potente con hasta una asombrosa potencia de 120 julios.,-0.0004059635102748871
11.5cm² treatment window - 4x larger than other IPL devices on the market.,"Ventana de tratamiento de 11,5 cm² - 4 veces más grande que otros dispositivos IPL del mercado.",0.4086495637893677,"Ventana de tratamiento de 11,5 cm² - 4 veces más grande que otros dispositivos IPL del mercado.",0.4086495637893677
Ultra-fast flash speed from 0.7 seconds - delivering 87 flashes per min.,"Velocidad de flash ultra rápida de 0,7 segundos - entregando 87 flashes por minuto.",0.595533549785614,Velocidad de flash ultra rápida de 0.7 segundos - entregando 87 destellos por minuto.,0.5474822521209717
5 levels of intensity to perfectly match your skin's sensitivity in different areas.,5 niveles de intensidad para adaptarse perfectamente a la sensibilidad de tu piel en diferentes zonas.,0.6768704056739807,5 niveles de intensidad para adaptarse perfectamente a la sensibilidad de tu piel en diferentes zonas.,0.6768704056739807
Innovative silicone shield protects eyes from intense light pulses.,Escudo de silicona innovador protege los ojos de pulsos de luz intensa.,0.3025124669075012,Un innovador escudo de silicona protege los ojos de pulsos de luz intensa.,0.3770357072353363
More settings and treatment guidance via the FOREO app.,Más configuraciones y guías de tratamiento a través de la app FOREO.,0.3593493103981018,Más ajustes y orientación de tratamiento a través de la aplicación FOREO.,0.2345428466796875
Protective glasses,Gafas protectoras,-0.4076976478099823,Gafas protectoras,-0.4076976478099823
Cleaning Cloth,Toalla de limpieza,0.22548633813858032,Trapo de limpieza,0.05220023915171623
Power Cable with 4 Plug Adaptors,Cable de alimentación con 4 adaptadores de enchufe,0.26232200860977173,Cable de alimentación con 4 adaptadores de enchufe,0.26232200860977173
Quick Start Guide,Guía rápida de inicio,0.3611659109592438,Guía de inicio rápido,0.4107966423034668
"General Manual (medical manual for US, Canada and Mexico)","Manual General (manual médico para Estados Unidos, Canadá y México)",0.5918630957603455,"Manual General (manual médico para Estados Unidos, Canadá y México)",0.5918630957603455
Simple & easy,Fácil y sencillo,0.9959825873374939,Simple y fácil,0.9398894309997559
STEP 1,PASO 1,0.38414251804351807,PASO 1,0.38414251804351807
Prep,Preparación,-0.08458173274993896,Prepara,-0.07592423260211945
"Shave all visible hair from the area you wish to treat. Apply PEACH™ Cooling Gel to skin for an even more intense cooling sensation, making sure to massage it in until fully absorbed.","Afeita todo el vello visible del área que deseas tratar. Aplica el gel refrescante PEACH™ a la piel para una sensación de enfriamiento aún más intensa, asegurándote de masajearlo hasta su completa absorción.",0.5086058974266052,"Afeita todo el vello visible del área que deseas tratar. Aplica el gel de enfriamiento PEACH™ a la piel para una sensación de frío aún más intensa, asegurándote de masajearlo hasta que se absorba completamente.",0.46754583716392517
STEP 2,PASO 2,0.25563448667526245,PASO 2,0.25563448667526245
Select intensity,Selecciona la intensidad,0.7783985733985901,Seleccionar intensidad,0.6719464063644409
"Plug in PEACH™ 2 Pro Max. Before first use, you must select your preferred settings via the FOREO app. Then adjust the IPL intensity as desired, by pressing the + and - buttons on the device. Download app","Conecta PEACH™ 2 Pro Max. Antes del primer uso, debes seleccionar tus preferencias en la aplicación FOREO. Luego, ajusta la intensidad de IPL según lo desees, presionando los botones + y - en el dispositivo. Descarga la app.",0.4699075520038605,"Conecta PEACH™ 2 Pro Max. Antes del primer uso, debes seleccionar tus ajustes preferidos a través de la aplicación FOREO. Luego ajusta la intensidad del IPL según lo desees, presionando los botones + y - en el dispositivo. Descarga la aplicación.",0.5003437399864197
STEP 3,PASO 3,0.21408218145370483,PASO 3,0.21408218145370483
Treat,Tratar,-0.6355568170547485,Tratar,-0.6355568170547485
"Place the treatment window firmly on skin. For large areas, press and hold the flash button while gliding on skin. For small areas, press and immediately release the flash button. See manual for more detailed instructions. See manual","Coloca la ventana de tratamiento firmemente sobre la piel. Para áreas grandes, presiona y mantén presionado el botón de flash mientras deslizas sobre la piel. Para áreas pequeñas, presiona y suelta inmediatamente el botón de flash. Consulta el manual para obtener instrucciones más detalladas. Consulta el manual.",0.369062215089798,"Coloque la ventana de tratamiento firmemente sobre la piel. Para grandes áreas, mantenga pulsado el botón del flash mientras desliza sobre la piel. Para pequeñas áreas, pulse el botón del flash e inmediatamente suéltelo. Consulte el manual para obtener instrucciones más detalladas. Consulte el manual.",0.34749308228492737
One-time investment,Inversión única,0.11434781551361084,Inversión única,0.11505495011806488
2 modes,2 modos,0.49962887167930603,2 modos,0.49962887167930603
2 modes for larger & more precise areas. No detachable heads needed.,2 modos para áreas más grandes y precisas. Sin cabezales desmontables necesarios.,0.005856383591890335,2 modos para áreas más grandes y precisas. Sin cabezales extraíbles necesarios.,0.009266022592782974
5 intensities,5 intensidades,0.7407188415527344,5 intensidades,0.7407188415527344
Allows you to adjust to different skin sensitivities on different areas.,Permite ajustar a diferentes sensibilidades de piel en distintas áreas.,0.4935075044631958,Permite ajustar a diferentes sensibilidades de la piel en distintas zonas.,0.5141672492027283
Safe skin sensor,Sensor de piel seguro,0.4702059030532837,Sensor de piel seguro,0.4702240824699402
Only activates IPL when treatment window is in full contact with skin.,Solo activa IPL cuando la ventana de tratamiento esté en contacto total con la piel.,0.3929957449436188,Solo se activa el IPL cuando la ventana de tratamiento está en contacto completo con la piel.,0.36398330330848694
App connected,Aplicación conectada,0.11688235402107239,Aplicación conectada,0.11688241362571716
"With how to use guidance, treatment reminders, and more settings.","Con manuales de uso, recordatorios de tratamiento y más configuraciones.",-0.2602274417877197,"Con instrucciones de uso, recordatorios de tratamiento y más configuraciones.",-0.2720375955104828
For most skin tones & hair types,Para la mayoría de los tonos de piel y tipos de cabello,0.6645472049713135,Para la mayoría de los tonos de piel y tipos de cabello,0.6645472049713135
"IPL technology focuses on melanin. As a result, it can be ineffective for users with light hair, and unsafe for users with deep skin tones.","La tecnología IPL se centra en la melanina. Como resultado, puede ser ineficaz para usuarios con cabello claro y insegura para usuarios con tonos de piel profundos.",0.6229860782623291,"La tecnología IPL se centra en la melanina. Como resultado, puede ser ineficaz para usuarios con cabello claro y peligroso para usuarios con tonos de piel oscuros.",0.6462733149528503
Check the skin tone & hair color charts to ensure IPL works for your skin tone and hair.,Revisa las tablas de tono de piel y color de cabello para asegurarte de que el tratamiento IPL funcione para tu tono de piel y color de cabello.,0.6114852428436279,Comprueba las tablas de tono de piel y color de cabello para asegurarte de que el IPL funcione para tu tono de piel y color de cabello.,0.5366335511207581
PEACHTM Cooling Prep Gel,Gel de Preparación Refrescante PEACHTM,0.08537614345550537,Gel de Preparación Refrescante PEACHTM,0.08537614345550537
"The perfect way to prep your skin for the most comfortable IPL hair removal treatments. Developed specifically for use with FOREO’s PEACH™ devices, this lightweight gel-to-serum formula cools and calms skin during your treatment, while enabling your PEACH™ device to glide effortlessly over skin.","La forma perfecta de preparar tu piel para los tratamientos de depilación IPL más cómodos. Desarrollado específicamente para su uso con los dispositivos PEACH™ de FOREO, esta fórmula ligera de gel a sérum enfría y calma la piel durante el tratamiento, mientras permite que tu dispositivo PEACH™ se deslice sin esfuerzo sobre la piel.",0.2561064660549164,"La forma perfecta de preparar tu piel para los tratamientos de eliminación del vello con IPL más cómodos. Desarrollado específicamente para su uso con los dispositivos PEACH™ de FOREO, esta fórmula ligera de gel a suero enfría y calma la piel durante el tratamiento, mientras permite que su dispositivo PEACH™ se deslice sin esfuerzo sobre la piel.",0.2817493677139282
YOU MAY ALSO LIKE,TAMBIÉN TE PUEDE GUSTAR,-1.1889125108718872,También te puede interesar.,0.11548179388046265
LUNA™ 4 body,LUNA™ 4 body,0.5086848139762878,Cuerpo LUNA™ 4,-0.44882985949516296
BEAR™ 2 body,BEAR™ 2 body,0.3225538730621338,Cuerpo BEAR™ 2,-0.5355877876281738
BEAR™ 2,BEAR™ 2,0.6389079093933105,OSO™ 2,-0.3589821457862854
LUNA™ 4 hair,LUNA™ 4 hair,0.5105639100074768,Pelo LUNA™ 4,-0.5111350417137146
INDEPENDENT REVIEWS BY BAZAAR VOICE,RESEÑAS INDEPENDIENTES DE BAZAAR VOICE,0.316188246011734,OPINIONES INDEPENDIENTES DE BAZAAR VOICE,0.44786232709884644
See what others think...,Mira lo que otros piensan...,0.6743438839912415,Mira lo que piensan los demás...,0.6443803310394287
Log in User profile My devices My orders My addresses,Iniciar sesión Perfil de usuario Mis dispositivos Mis pedidos Mis direcciones,0.7634879946708679,Iniciar sesión Perfil de usuario Mis dispositivos Mis pedidos Mis direcciones,0.7634879946708679
Log in,Iniciar sesión,-0.027965832501649857,Iniciar sesión,-0.027965832501649857
User profile,Perfil de usuario,0.4736948609352112,Perfil de usuario,0.4737180173397064
My devices,Mis dispositivos,0.44887515902519226,Mis dispositivos,0.44887515902519226
My orders,Mis pedidos,0.526565670967102,Mis pedidos,0.526565670967102
My addresses,Mis direcciones,0.5820353627204895,Mis direcciones,0.5823571681976318
HOLIDAY SALE UP TO 50% OFF,VENTA NAVIDEÑA HASTA EL 50% DE DESCUENTO,-0.05131419375538826,VENTA DE VACACIONES HASTA EL 50% DE DESCUENTO,0.04047233238816261
UP TO 50% OFF,Hasta un 50% de descuento,0.5019844174385071,Hasta el 50% de descuento.,0.4765566289424896
NEW FLIP™ play advanced,NUEVO FLIP™ play avanzado,0.06220853701233864,NUEVO FLIP™ jugar avanzado,-0.14552369713783264
FLIP™ play advanced,FLIP™ jugar avanzado,-0.18707908689975739,FLIP™ jugar avanzado,-0.18707908689975739
Popular Special offers Bestsellers Red light therapy,Popular Sorpresas especiales Superventas Terapia de luz roja,-0.024315323680639267,Ofertas populares Mejores ofertas Terapia de luz roja,0.22530511021614075
Special offers,Sorpresas especiales,0.43893271684646606,Ofertas especiales,0.7192476987838745
Bestsellers,Los más vendidos,0.3278614580631256,Los más vendidos,0.3281781077384949
Red light therapy,Terapia de luz roja,0.5264752507209778,Terapia de luz roja,0.5263883471488953
"Swedish beauty routine Facial cleansing LUNA™ 4 Anti-aging massage LUNA™ 4 plus Anti-aging massage, LED heating LUNA™ 4 MEN For men, anti-aging massage LUNA™ 4 mini For young skin, T-zone LUNA™ 4 go For travel or gym bag LUNA™ skincare Premium cleansers & balm LUNA™ devices All facial cleansing devices Facelift BEAR™ 2 Microcurrent toning device BEAR™ 2 go Microcurrent toning on-the-go BEAR™ 2 eyes & lips Microcurrent line smoothing device Facelift skincare Premium anti-aging skincare BEAR™ devices All premium facelift devices Hydration UFO™ 3 Deep facial hydration device UFO™ 3 LED Near-infrared and red light therapy device UFO™ 3 mini Red light therapy device for young skin UFO™ 3 go Portable red light therapy Masks Rejuvenation & hydration UFO™ devices All deep facial hydration devices Oral care issa™ 4 Hybrid silicone sonic toothbrush issa™ 4 plus Smart hybrid silicone sonic toothbrush issa™ 4 smile Hybrid silicone sonic toothbrush issa™ 4 baby For ages 0-3 ISSA™ devices All silicone sonic toothbrushes","RUTINA SUECAS DE BELLEZA Limpieza facial LUNA™ 4 Masaje antiedad LUNA™ 4 Plus Masaje antiedad y calor LED LUNA™ 4 Men Masaje antiedad para hombres LUNA™ 4 mini Zona-T, para piel joven LUNA™ 4 go Para llevar siempre contigo Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium Dispositivos LUNA™ Todos los dispositivos de limpieza facial Lifting facial BEAR™ 2 Tonificador facial de microcorrientes BEAR™ 2 go Tonificación con microcorrientes sobre la marcha BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes Lifting facial Cuidado de la piel antiedad Dispositivos BEAR™ Todos los dispositivos de lifting facial premium Hidratación UFO™ 3 Dispositivo de hidratación facial profunda UFO™ 3 LED Dispositivo LED para una hidratación facial profunda UFO™ 3 mini Hidratación facial profunda para piel joven UFO™ 3 go Hidratación facial profunda sobre la marcha Mascarillas Rejuvenecimiento e hidratación Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda Cuidado bucal issa™ 4 Cepillo de dientes sónico híbrido de silicona issa™ 4 plus Cepillo de dientes sónico híbrido de silicona inteligente issa™ 4 smile Cepillo de dientes sónico híbrido de silicona issa™ 4 baby Para niños de 0 a 3 años Dispositivos ISSA™ Todos los cepillos de dientes sónicos de silicona",-0.2036019265651703,"Rutina de belleza sueca Limpieza facial LUNA™ 4 Masaje antienvejecimiento LUNA™ 4 Másaje antienvejecimiento, calentamiento LED LUNA™ 4 MEN Para hombres, masaje antienvejecimiento LUNA™ 4 mini Para piel joven, zona T LUNA™ 4 go Para viajes o bolsa de gimnasio Limpieza facial LUNA™ productos Premium limpiadores y bálsamo Dispositivos faciales LUNA™ Todos los dispositivos de limpieza facial Elevar BEAR™ 2 Dispositivo de tonificación microcorriente BEAR™ 2 go Tonificación microcorriente portátil BEAR™ 2 ojos & labios Dispositivo para suavizar las líneas del contorno BEAR™ cuidado de la piel productos Premium antienvejecimiento BEAR™ Dispositivos todos los dispositivos premium de elevación Hidratación UFO™ 3 Dispositivo de hidratación facial profunda UFO™ 3 LED Terapia con luz infrarroja cercana y roja Dispositivo de terapia con luz roja para piel joven UFO™ 3 go Terapia con luz roja portátil Máscaras Rejuvenecimiento e hidratación UFO™ Dispositivos todos los dispositivos de hidratación facial profunda Cuidado oral issa™ 4 Cepillo sónico híbrido de silicona issa™ 4 plus Cepillo sónico híbrido inteligente de silicona issa™ 4 smile Cepillo sónico híbrido de silicona issa™ 4 baby Para edades de 0 a 3 años Dispositivos ISSA™ Todos los cepillos sónicos de silicona",-0.3958892524242401
"Facial cleansing LUNA™ 4 Anti-aging massage LUNA™ 4 plus Anti-aging massage, LED heating LUNA™ 4 MEN For men, anti-aging massage LUNA™ 4 mini For young skin, T-zone LUNA™ 4 go For travel or gym bag LUNA™ skincare Premium cleansers & balm LUNA™ devices All facial cleansing devices","Limpieza facial LUNA™ 4 Masaje antiedad LUNA™ 4 Plus Masaje antiedad y calor LED LUNA™ 4 Men Masaje antiedad para hombres LUNA™ 4 mini Zona-T, para piel joven LUNA™ 4 go Para llevar siempre contigo Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium Dispositivos LUNA™ Todos los dispositivos de limpieza facial",-0.10078246891498566,"Limpieza facial LUNA™ 4 Masaje antienvejecimiento LUNA™ 4 plus Masaje antienvejecimiento con calefacción LED LUNA™ 4 MEN Para hombres, masaje antienvejecimiento LUNA™ 4 mini Para piel joven, zona T LUNA™ 4 go Para viajes o bolsa del gimnasio Dispositivos LUNA™ Limpieza facial premium y bálsamo Dispositivos LUNA™ Todos los dispositivos de limpieza facial.",-0.3339375853538513
LUNA™ 4 Anti-aging massage,LUNA™ 4 Masaje antiedad,0.15584585070610046,Masaje antienvejecimiento LUNA™ 4,0.44929155707359314
"LUNA™ 4 plus Anti-aging massage, LED heating",LUNA™ 4 Plus Masaje antiedad y calor LED,0.08552491664886475,"Masaje antiedad LUNA™ 4 plus, calentamiento LED",0.19577646255493164
"LUNA™ 4 MEN For men, anti-aging massage",LUNA™ 4 Men Masaje antiedad para hombres,-0.3149993121623993,Masaje antiedad para hombres.,0.2981787323951721
"LUNA™ 4 mini For young skin, T-zone","LUNA™ 4 mini Zona-T, para piel joven",0.31573575735092163,"LUNA™ 4 mini Para piel joven, zona T",0.2912175953388214
LUNA™ 4 go For travel or gym bag,LUNA™ 4 go Para llevar siempre contigo,-0.5873152613639832,Mochila para viajes o gimnasio LUNA™ 4,-0.08731809258460999
LUNA™ skincare Premium cleansers & balm,Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium,0.47398754954338074,Limpiadores y bálsamos para el cuidado de la piel LUNA™ Premium,0.43559888005256653
LUNA™ devices All facial cleansing devices,Dispositivos LUNA™ Todos los dispositivos de limpieza facial,0.2007819265127182,Dispositivos para limpieza facial LUNA™,0.41999176144599915
Facelift BEAR™ 2 Microcurrent toning device BEAR™ 2 go Microcurrent toning on-the-go BEAR™ 2 eyes & lips Microcurrent line smoothing device Facelift skincare Premium anti-aging skincare BEAR™ devices All premium facelift devices,Lifting facial BEAR™ 2 Tonificador facial de microcorrientes BEAR™ 2 go Tonificación con microcorrientes sobre la marcha BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes Lifting facial Cuidado de la piel antiedad Dispositivos BEAR™ Todos los dispositivos de lifting facial premium,-0.22087876498699188,Dispositivo de tonificación por microcorrientes BEAR™ 2 Dispositivo de tonificación por microcorrientes BEAR™ 2 para llevar Dispositivo de suavizado de líneas faciales BEAR™ 2 para ojos y labios Cuidado facial Premium cuidado antienvejecimiento BEAR™ Dispositivos premium para lifting facial Todos los dispositivos premium para lifting facial,-0.3329262435436249
BEAR™ 2 Microcurrent toning device,BEAR™ 2 Tonificador facial de microcorrientes,0.053469154983758926,Dispositivo de tonificación microcorriente BEAR™ 2,0.21358583867549896
BEAR™ 2 go Microcurrent toning on-the-go,BEAR™ 2 go Tonificación con microcorrientes sobre la marcha,-0.4628523290157318,Toning microcorriente BEAR™ 2 para llevar,-0.617026150226593
BEAR™ 2 eyes & lips Microcurrent line smoothing device,BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes,-0.19270861148834229,Dispositivo para suavizar líneas de ojos y labios con microcorrientes BEAR™.,0.25519534945487976
Facelift skincare Premium anti-aging skincare,Lifting facial Cuidado de la piel antiedad,0.2419164478778839,Cuidado facial premium para el antienvejecimiento,0.34813618659973145
BEAR™ devices All premium facelift devices,Dispositivos BEAR™ Todos los dispositivos de lifting facial premium,0.14062070846557617,Dispositivos BEAR™ de última generación para lifting facial.,0.24573253095149994
Hydration UFO™ 3 Deep facial hydration device UFO™ 3 LED Near-infrared and red light therapy device UFO™ 3 mini Red light therapy device for young skin UFO™ 3 go Portable red light therapy Masks Rejuvenation & hydration UFO™ devices All deep facial hydration devices,Hidratación UFO™ 3 Dispositivo de hidratación facial profunda UFO™ 3 LED Dispositivo LED para una hidratación facial profunda UFO™ 3 mini Hidratación facial profunda para piel joven UFO™ 3 go Hidratación facial profunda sobre la marcha Mascarillas Rejuvenecimiento e hidratación Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda,-0.1080045998096466,Dispositivo de hidratación facial profunda UFO™ 3 Dispositivo de terapia con luz LED infrarroja cercana y roja UFO™ 3 Dispositivo de terapia con luz roja para piel joven UFO™ 3 mini Máscaras de terapia con luz roja Rejuvenecimiento e hidratación Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda,-0.06858611106872559
UFO™ 3 Deep facial hydration device,UFO™ 3 Dispositivo de hidratación facial profunda,0.48329395055770874,Dispositivo de hidratación profunda para rostro UFO™ 3,0.5139604210853577
UFO™ 3 LED Near-infrared and red light therapy device,UFO™ 3 LED Dispositivo LED para una hidratación facial profunda,-0.08176703751087189,Dispositivo de terapia con luz infrarroja cercana y roja LED 3 UFO™.,0.08163094520568848
UFO™ 3 mini Red light therapy device for young skin,UFO™ 3 mini Hidratación facial profunda para piel joven,0.28169071674346924,Dispositivo de terapia de luz roja UFO™ 3 mini para piel joven.,0.48355600237846375
UFO™ 3 go Portable red light therapy,UFO™ 3 go Hidratación facial profunda sobre la marcha,-0.16143758594989777,Terapia de luz roja portátil UFO™ 3 rojo,0.004416082054376602
